year,month,division,rainfall_mm,data_quality
2014,1,Barishal,17.7,climatological_estimate
2014,1,Chattogram,8.9,climatological_estimate
2014,1,Dhaka,7.9,climatological_estimate
2014,1,Khulna,14.8,climatological_estimate
2014,1,Mymensingh,11.8,climatological_estimate
2014,1,Rajshahi,8.9,climatological_estimate
2014,1,Rangpur,9.8,climatological_estimate
2014,1,Sylhet,21.7,climatological_estimate
2014,2,Barishal,24.6,climatological_estimate
2014,2,Chattogram,19.7,climatological_estimate
2014,2,Dhaka,14.8,climatological_estimate
2014,2,Khulna,23.6,climatological_estimate
2014,2,Mymensingh,21.7,climatological_estimate
2014,2,Rajshahi,17.7,climatological_estimate
2014,2,Rangpur,19.7,climatological_estimate
2014,2,Sylhet,39.4,climatological_estimate
2014,3,Barishal,41.4,climatological_estimate
2014,3,Chattogram,37.4,climatological_estimate
2014,3,Dhaka,23.6,climatological_estimate
2014,3,Khulna,29.6,climatological_estimate
2014,3,Mymensingh,39.4,climatological_estimate
2014,3,Rajshahi,18.7,climatological_estimate
2014,3,Rangpur,31.5,climatological_estimate
2014,3,Sylhet,118.2,climatological_estimate
2014,4,Barishal,72.8,climatological_estimate
2014,4,Chattogram,82.5,climatological_estimate
2014,4,Dhaka,61.1,climatological_estimate
2014,4,Khulna,53.4,climatological_estimate
2014,4,Mymensingh,77.6,climatological_estimate
2014,4,Rajshahi,29.1,climatological_estimate
2014,4,Rangpur,63.0,climatological_estimate
2014,4,Sylhet,257.1,climatological_estimate
2014,5,Barishal,163.0,climatological_estimate
2014,5,Chattogram,244.4,climatological_estimate
2014,5,Dhaka,131.9,climatological_estimate
2014,5,Khulna,120.3,climatological_estimate
2014,5,Mymensingh,186.2,climatological_estimate
2014,5,Rajshahi,73.7,climatological_estimate
2014,5,Rangpur,160.0,climatological_estimate
2014,5,Sylhet,451.1,climatological_estimate
2014,6,Barishal,346.8,climatological_estimate
2014,6,Chattogram,518.7,climatological_estimate
2014,6,Dhaka,307.8,climatological_estimate
2014,6,Khulna,268.8,climatological_estimate
2014,6,Mymensingh,346.8,climatological_estimate
2014,6,Rajshahi,207.1,climatological_estimate
2014,6,Rangpur,296.4,climatological_estimate
2014,6,Sylhet,786.6,climatological_estimate
2014,7,Barishal,410.4,climatological_estimate
2014,7,Chattogram,582.4,climatological_estimate
2014,7,Dhaka,361.0,climatological_estimate
2014,7,Khulna,351.5,climatological_estimate
2014,7,Mymensingh,399.0,climatological_estimate
2014,7,Rajshahi,338.2,climatological_estimate
2014,7,Rangpur,395.2,climatological_estimate
2014,7,Sylhet,723.9,climatological_estimate
2014,8,Barishal,375.2,climatological_estimate
2014,8,Chattogram,460.8,climatological_estimate
2014,8,Dhaka,300.2,climatological_estimate
2014,8,Khulna,311.6,climatological_estimate
2014,8,Mymensingh,349.6,climatological_estimate
2014,8,Rajshahi,306.8,climatological_estimate
2014,8,Rangpur,359.1,climatological_estimate
2014,8,Sylhet,568.1,climatological_estimate
2014,9,Barishal,302.1,climatological_estimate
2014,9,Chattogram,298.3,climatological_estimate
2014,9,Dhaka,231.8,climatological_estimate
2014,9,Khulna,254.6,climatological_estimate
2014,9,Mymensingh,280.2,climatological_estimate
2014,9,Rajshahi,225.1,climatological_estimate
2014,9,Rangpur,266.0,climatological_estimate
2014,9,Sylhet,406.6,climatological_estimate
2014,10,Barishal,172.9,climatological_estimate
2014,10,Chattogram,144.4,climatological_estimate
2014,10,Dhaka,108.3,climatological_estimate
2014,10,Khulna,140.6,climatological_estimate
2014,10,Mymensingh,133.0,climatological_estimate
2014,10,Rajshahi,66.5,climatological_estimate
2014,10,Rangpur,115.9,climatological_estimate
2014,10,Sylhet,207.1,climatological_estimate
2014,11,Barishal,47.3,climatological_estimate
2014,11,Chattogram,37.4,climatological_estimate
2014,11,Dhaka,18.7,climatological_estimate
2014,11,Khulna,37.4,climatological_estimate
2014,11,Mymensingh,21.7,climatological_estimate
2014,11,Rajshahi,7.9,climatological_estimate
2014,11,Rangpur,14.8,climatological_estimate
2014,11,Sylhet,57.1,climatological_estimate
2014,12,Barishal,13.8,climatological_estimate
2014,12,Chattogram,8.9,climatological_estimate
2014,12,Dhaka,3.9,climatological_estimate
2014,12,Khulna,11.8,climatological_estimate
2014,12,Mymensingh,5.9,climatological_estimate
2014,12,Rajshahi,3.9,climatological_estimate
2014,12,Rangpur,4.9,climatological_estimate
2014,12,Sylhet,17.7,climatological_estimate
2015,1,Barishal,18.2,climatological_estimate
2015,1,Chattogram,9.1,climatological_estimate
2015,1,Dhaka,8.1,climatological_estimate
2015,1,Khulna,15.1,climatological_estimate
2015,1,Mymensingh,12.1,climatological_estimate
2015,1,Rajshahi,9.1,climatological_estimate
2015,1,Rangpur,10.1,climatological_estimate
2015,1,Sylhet,22.2,climatological_estimate
2015,2,Barishal,25.2,climatological_estimate
2015,2,Chattogram,20.2,climatological_estimate
2015,2,Dhaka,15.1,climatological_estimate
2015,2,Khulna,24.2,climatological_estimate
2015,2,Mymensingh,22.2,climatological_estimate
2015,2,Rajshahi,18.2,climatological_estimate
2015,2,Rangpur,20.2,climatological_estimate
2015,2,Sylhet,40.4,climatological_estimate
2015,3,Barishal,42.4,climatological_estimate
2015,3,Chattogram,38.3,climatological_estimate
2015,3,Dhaka,24.2,climatological_estimate
2015,3,Khulna,30.3,climatological_estimate
2015,3,Mymensingh,40.4,climatological_estimate
2015,3,Rajshahi,19.2,climatological_estimate
2015,3,Rangpur,32.3,climatological_estimate
2015,3,Sylhet,121.1,climatological_estimate
2015,4,Barishal,76.3,climatological_estimate
2015,4,Chattogram,86.5,climatological_estimate
2015,4,Dhaka,64.1,climatological_estimate
2015,4,Khulna,56.0,climatological_estimate
2015,4,Mymensingh,81.4,climatological_estimate
2015,4,Rajshahi,30.5,climatological_estimate
2015,4,Rangpur,66.2,climatological_estimate
2015,4,Sylhet,269.8,climatological_estimate
2015,5,Barishal,171.0,climatological_estimate
2015,5,Chattogram,256.5,climatological_estimate
2015,5,Dhaka,138.4,climatological_estimate
2015,5,Khulna,126.2,climatological_estimate
2015,5,Mymensingh,195.5,climatological_estimate
2015,5,Rajshahi,77.4,climatological_estimate
2015,5,Rangpur,168.0,climatological_estimate
2015,5,Sylhet,473.4,climatological_estimate
2015,6,Barishal,375.9,climatological_estimate
2015,6,Chattogram,562.4,climatological_estimate
2015,6,Dhaka,333.7,climatological_estimate
2015,6,Khulna,291.5,climatological_estimate
2015,6,Mymensingh,375.9,climatological_estimate
2015,6,Rajshahi,224.5,climatological_estimate
2015,6,Rangpur,321.4,climatological_estimate
2015,6,Sylhet,852.8,climatological_estimate
2015,7,Barishal,445.0,climatological_estimate
2015,7,Chattogram,631.4,climatological_estimate
2015,7,Dhaka,391.4,climatological_estimate
2015,7,Khulna,381.1,climatological_estimate
2015,7,Mymensingh,432.6,climatological_estimate
2015,7,Rajshahi,366.7,climatological_estimate
2015,7,Rangpur,428.5,climatological_estimate
2015,7,Sylhet,784.9,climatological_estimate
2015,8,Barishal,406.9,climatological_estimate
2015,8,Chattogram,499.6,climatological_estimate
2015,8,Dhaka,325.5,climatological_estimate
2015,8,Khulna,337.8,climatological_estimate
2015,8,Mymensingh,379.0,climatological_estimate
2015,8,Rajshahi,332.7,climatological_estimate
2015,8,Rangpur,389.3,climatological_estimate
2015,8,Sylhet,615.9,climatological_estimate
2015,9,Barishal,327.5,climatological_estimate
2015,9,Chattogram,323.4,climatological_estimate
2015,9,Dhaka,251.3,climatological_estimate
2015,9,Khulna,276.0,climatological_estimate
2015,9,Mymensingh,303.9,climatological_estimate
2015,9,Rajshahi,244.1,climatological_estimate
2015,9,Rangpur,288.4,climatological_estimate
2015,9,Sylhet,440.8,climatological_estimate
2015,10,Barishal,187.5,climatological_estimate
2015,10,Chattogram,156.6,climatological_estimate
2015,10,Dhaka,117.4,climatological_estimate
2015,10,Khulna,152.4,climatological_estimate
2015,10,Mymensingh,144.2,climatological_estimate
2015,10,Rajshahi,72.1,climatological_estimate
2015,10,Rangpur,125.7,climatological_estimate
2015,10,Sylhet,224.5,climatological_estimate
2015,11,Barishal,48.4,climatological_estimate
2015,11,Chattogram,38.3,climatological_estimate
2015,11,Dhaka,19.2,climatological_estimate
2015,11,Khulna,38.3,climatological_estimate
2015,11,Mymensingh,22.2,climatological_estimate
2015,11,Rajshahi,8.1,climatological_estimate
2015,11,Rangpur,15.1,climatological_estimate
2015,11,Sylhet,58.5,climatological_estimate
2015,12,Barishal,14.1,climatological_estimate
2015,12,Chattogram,9.1,climatological_estimate
2015,12,Dhaka,4.0,climatological_estimate
2015,12,Khulna,12.1,climatological_estimate
2015,12,Mymensingh,6.1,climatological_estimate
2015,12,Rajshahi,4.0,climatological_estimate
2015,12,Rangpur,5.0,climatological_estimate
2015,12,Sylhet,18.2,climatological_estimate
2016,1,Barishal,18.4,climatological_estimate
2016,1,Chattogram,9.2,climatological_estimate
2016,1,Dhaka,8.2,climatological_estimate
2016,1,Khulna,15.4,climatological_estimate
2016,1,Mymensingh,12.3,climatological_estimate
2016,1,Rajshahi,9.2,climatological_estimate
2016,1,Rangpur,10.2,climatological_estimate
2016,1,Sylhet,22.5,climatological_estimate
2016,2,Barishal,25.6,climatological_estimate
2016,2,Chattogram,20.5,climatological_estimate
2016,2,Dhaka,15.4,climatological_estimate
2016,2,Khulna,24.6,climatological_estimate
2016,2,Mymensingh,22.5,climatological_estimate
2016,2,Rajshahi,18.4,climatological_estimate
2016,2,Rangpur,20.5,climatological_estimate
2016,2,Sylhet,41.0,climatological_estimate
2016,3,Barishal,43.0,climatological_estimate
2016,3,Chattogram,38.9,climatological_estimate
2016,3,Dhaka,24.6,climatological_estimate
2016,3,Khulna,30.7,climatological_estimate
2016,3,Mymensingh,41.0,climatological_estimate
2016,3,Rajshahi,19.5,climatological_estimate
2016,3,Rangpur,32.8,climatological_estimate
2016,3,Sylhet,122.9,climatological_estimate
2016,4,Barishal,78.6,climatological_estimate
2016,4,Chattogram,89.1,climatological_estimate
2016,4,Dhaka,66.0,climatological_estimate
2016,4,Khulna,57.6,climatological_estimate
2016,4,Mymensingh,83.8,climatological_estimate
2016,4,Rajshahi,31.4,climatological_estimate
2016,4,Rangpur,68.1,climatological_estimate
2016,4,Sylhet,277.7,climatological_estimate
2016,5,Barishal,176.1,climatological_estimate
2016,5,Chattogram,264.1,climatological_estimate
2016,5,Dhaka,142.5,climatological_estimate
2016,5,Khulna,130.0,climatological_estimate
2016,5,Mymensingh,201.2,climatological_estimate
2016,5,Rajshahi,79.6,climatological_estimate
2016,5,Rangpur,172.9,climatological_estimate
2016,5,Sylhet,487.3,climatological_estimate
2016,6,Barishal,394.2,climatological_estimate
2016,6,Chattogram,589.7,climatological_estimate
2016,6,Dhaka,349.9,climatological_estimate
2016,6,Khulna,305.6,climatological_estimate
2016,6,Mymensingh,394.2,climatological_estimate
2016,6,Rajshahi,235.4,climatological_estimate
2016,6,Rangpur,337.0,climatological_estimate
2016,6,Sylhet,894.2,climatological_estimate
2016,7,Barishal,466.6,climatological_estimate
2016,7,Chattogram,662.0,climatological_estimate
2016,7,Dhaka,410.4,climatological_estimate
2016,7,Khulna,399.6,climatological_estimate
2016,7,Mymensingh,453.6,climatological_estimate
2016,7,Rajshahi,384.5,climatological_estimate
2016,7,Rangpur,449.3,climatological_estimate
2016,7,Sylhet,823.0,climatological_estimate
2016,8,Barishal,426.6,climatological_estimate
2016,8,Chattogram,523.8,climatological_estimate
2016,8,Dhaka,341.3,climatological_estimate
2016,8,Khulna,354.2,climatological_estimate
2016,8,Mymensingh,397.4,climatological_estimate
2016,8,Rajshahi,348.8,climatological_estimate
2016,8,Rangpur,408.2,climatological_estimate
2016,8,Sylhet,645.8,climatological_estimate
2016,9,Barishal,343.4,climatological_estimate
2016,9,Chattogram,339.1,climatological_estimate
2016,9,Dhaka,263.5,climatological_estimate
2016,9,Khulna,289.4,climatological_estimate
2016,9,Mymensingh,318.6,climatological_estimate
2016,9,Rajshahi,256.0,climatological_estimate
2016,9,Rangpur,302.4,climatological_estimate
2016,9,Sylhet,462.2,climatological_estimate
2016,10,Barishal,196.6,climatological_estimate
2016,10,Chattogram,164.2,climatological_estimate
2016,10,Dhaka,123.1,climatological_estimate
2016,10,Khulna,159.8,climatological_estimate
2016,10,Mymensingh,151.2,climatological_estimate
2016,10,Rajshahi,75.6,climatological_estimate
2016,10,Rangpur,131.8,climatological_estimate
2016,10,Sylhet,235.4,climatological_estimate
2016,11,Barishal,49.2,climatological_estimate
2016,11,Chattogram,38.9,climatological_estimate
2016,11,Dhaka,19.5,climatological_estimate
2016,11,Khulna,38.9,climatological_estimate
2016,11,Mymensingh,22.5,climatological_estimate
2016,11,Rajshahi,8.2,climatological_estimate
2016,11,Rangpur,15.4,climatological_estimate
2016,11,Sylhet,59.4,climatological_estimate
2016,12,Barishal,14.3,climatological_estimate
2016,12,Chattogram,9.2,climatological_estimate
2016,12,Dhaka,4.1,climatological_estimate
2016,12,Khulna,12.3,climatological_estimate
2016,12,Mymensingh,6.1,climatological_estimate
2016,12,Rajshahi,4.1,climatological_estimate
2016,12,Rangpur,5.1,climatological_estimate
2016,12,Sylhet,18.4,climatological_estimate
2017,1,Barishal,18.8,climatological_estimate
2017,1,Chattogram,9.4,climatological_estimate
2017,1,Dhaka,8.4,climatological_estimate
2017,1,Khulna,15.7,climatological_estimate
2017,1,Mymensingh,12.5,climatological_estimate
2017,1,Rajshahi,9.4,climatological_estimate
2017,1,Rangpur,10.4,climatological_estimate
2017,1,Sylhet,23.0,climatological_estimate
2017,2,Barishal,26.1,climatological_estimate
2017,2,Chattogram,20.9,climatological_estimate
2017,2,Dhaka,15.7,climatological_estimate
2017,2,Khulna,25.1,climatological_estimate
2017,2,Mymensingh,23.0,climatological_estimate
2017,2,Rajshahi,18.8,climatological_estimate
2017,2,Rangpur,20.9,climatological_estimate
2017,2,Sylhet,41.8,climatological_estimate
2017,3,Barishal,43.9,climatological_estimate
2017,3,Chattogram,39.7,climatological_estimate
2017,3,Dhaka,25.1,climatological_estimate
2017,3,Khulna,31.3,climatological_estimate
2017,3,Mymensingh,41.8,climatological_estimate
2017,3,Rajshahi,19.9,climatological_estimate
2017,3,Rangpur,33.4,climatological_estimate
2017,3,Sylhet,125.4,climatological_estimate
2017,4,Barishal,81.8,climatological_estimate
2017,4,Chattogram,92.7,climatological_estimate
2017,4,Dhaka,68.7,climatological_estimate
2017,4,Khulna,60.0,climatological_estimate
2017,4,Mymensingh,87.2,climatological_estimate
2017,4,Rajshahi,32.7,climatological_estimate
2017,4,Rangpur,70.9,climatological_estimate
2017,4,Sylhet,288.9,climatological_estimate
2017,5,Barishal,183.1,climatological_estimate
2017,5,Chattogram,274.7,climatological_estimate
2017,5,Dhaka,148.2,climatological_estimate
2017,5,Khulna,135.2,climatological_estimate
2017,5,Mymensingh,209.3,climatological_estimate
2017,5,Rajshahi,82.8,climatological_estimate
2017,5,Rangpur,179.9,climatological_estimate
2017,5,Sylhet,506.9,climatological_estimate
2017,6,Barishal,419.7,climatological_estimate
2017,6,Chattogram,627.9,climatological_estimate
2017,6,Dhaka,372.6,climatological_estimate
2017,6,Khulna,325.4,climatological_estimate
2017,6,Mymensingh,419.7,climatological_estimate
2017,6,Rajshahi,250.7,climatological_estimate
2017,6,Rangpur,358.8,climatological_estimate
2017,6,Sylhet,952.2,climatological_estimate
2017,7,Barishal,496.8,climatological_estimate
2017,7,Chattogram,704.9,climatological_estimate
2017,7,Dhaka,437.0,climatological_estimate
2017,7,Khulna,425.5,climatological_estimate
2017,7,Mymensingh,483.0,climatological_estimate
2017,7,Rajshahi,409.4,climatological_estimate
2017,7,Rangpur,478.4,climatological_estimate
2017,7,Sylhet,876.3,climatological_estimate
2017,8,Barishal,454.2,climatological_estimate
2017,8,Chattogram,557.8,climatological_estimate
2017,8,Dhaka,363.4,climatological_estimate
2017,8,Khulna,377.2,climatological_estimate
2017,8,Mymensingh,423.2,climatological_estimate
2017,8,Rajshahi,371.4,climatological_estimate
2017,8,Rangpur,434.7,climatological_estimate
2017,8,Sylhet,687.7,climatological_estimate
2017,9,Barishal,365.7,climatological_estimate
2017,9,Chattogram,361.1,climatological_estimate
2017,9,Dhaka,280.6,climatological_estimate
2017,9,Khulna,308.2,climatological_estimate
2017,9,Mymensingh,339.2,climatological_estimate
2017,9,Rajshahi,272.5,climatological_estimate
2017,9,Rangpur,322.0,climatological_estimate
2017,9,Sylhet,492.2,climatological_estimate
2017,10,Barishal,209.3,climatological_estimate
2017,10,Chattogram,174.8,climatological_estimate
2017,10,Dhaka,131.1,climatological_estimate
2017,10,Khulna,170.2,climatological_estimate
2017,10,Mymensingh,161.0,climatological_estimate
2017,10,Rajshahi,80.5,climatological_estimate
2017,10,Rangpur,140.3,climatological_estimate
2017,10,Sylhet,250.7,climatological_estimate
2017,11,Barishal,50.2,climatological_estimate
2017,11,Chattogram,39.7,climatological_estimate
2017,11,Dhaka,19.9,climatological_estimate
2017,11,Khulna,39.7,climatological_estimate
2017,11,Mymensingh,23.0,climatological_estimate
2017,11,Rajshahi,8.4,climatological_estimate
2017,11,Rangpur,15.7,climatological_estimate
2017,11,Sylhet,60.6,climatological_estimate
2017,12,Barishal,14.6,climatological_estimate
2017,12,Chattogram,9.4,climatological_estimate
2017,12,Dhaka,4.2,climatological_estimate
2017,12,Khulna,12.5,climatological_estimate
2017,12,Mymensingh,6.3,climatological_estimate
2017,12,Rajshahi,4.2,climatological_estimate
2017,12,Rangpur,5.2,climatological_estimate
2017,12,Sylhet,18.8,climatological_estimate
2018,1,Barishal,18.1,climatological_estimate
2018,1,Chattogram,9.1,climatological_estimate
2018,1,Dhaka,8.0,climatological_estimate
2018,1,Khulna,15.1,climatological_estimate
2018,1,Mymensingh,12.1,climatological_estimate
2018,1,Rajshahi,9.1,climatological_estimate
2018,1,Rangpur,10.1,climatological_estimate
2018,1,Sylhet,22.1,climatological_estimate
2018,2,Barishal,25.1,climatological_estimate
2018,2,Chattogram,20.1,climatological_estimate
2018,2,Dhaka,15.1,climatological_estimate
2018,2,Khulna,24.1,climatological_estimate
2018,2,Mymensingh,22.1,climatological_estimate
2018,2,Rajshahi,18.1,climatological_estimate
2018,2,Rangpur,20.1,climatological_estimate
2018,2,Sylhet,40.2,climatological_estimate
2018,3,Barishal,42.3,climatological_estimate
2018,3,Chattogram,38.2,climatological_estimate
2018,3,Dhaka,24.1,climatological_estimate
2018,3,Khulna,30.2,climatological_estimate
2018,3,Mymensingh,40.2,climatological_estimate
2018,3,Rajshahi,19.1,climatological_estimate
2018,3,Rangpur,32.2,climatological_estimate
2018,3,Sylhet,120.7,climatological_estimate
2018,4,Barishal,75.9,climatological_estimate
2018,4,Chattogram,86.0,climatological_estimate
2018,4,Dhaka,63.8,climatological_estimate
2018,4,Khulna,55.7,climatological_estimate
2018,4,Mymensingh,81.0,climatological_estimate
2018,4,Rajshahi,30.4,climatological_estimate
2018,4,Rangpur,65.8,climatological_estimate
2018,4,Sylhet,268.2,climatological_estimate
2018,5,Barishal,170.0,climatological_estimate
2018,5,Chattogram,255.0,climatological_estimate
2018,5,Dhaka,137.6,climatological_estimate
2018,5,Khulna,125.5,climatological_estimate
2018,5,Mymensingh,194.3,climatological_estimate
2018,5,Rajshahi,76.9,climatological_estimate
2018,5,Rangpur,167.0,climatological_estimate
2018,5,Sylhet,470.6,climatological_estimate
2018,6,Barishal,372.3,climatological_estimate
2018,6,Chattogram,556.9,climatological_estimate
2018,6,Dhaka,330.5,climatological_estimate
2018,6,Khulna,288.7,climatological_estimate
2018,6,Mymensingh,372.3,climatological_estimate
2018,6,Rajshahi,222.4,climatological_estimate
2018,6,Rangpur,318.2,climatological_estimate
2018,6,Sylhet,844.6,climatological_estimate
2018,7,Barishal,440.6,climatological_estimate
2018,7,Chattogram,625.3,climatological_estimate
2018,7,Dhaka,387.6,climatological_estimate
2018,7,Khulna,377.4,climatological_estimate
2018,7,Mymensingh,428.4,climatological_estimate
2018,7,Rajshahi,363.1,climatological_estimate
2018,7,Rangpur,424.3,climatological_estimate
2018,7,Sylhet,777.2,climatological_estimate
2018,8,Barishal,402.9,climatological_estimate
2018,8,Chattogram,494.7,climatological_estimate
2018,8,Dhaka,322.3,climatological_estimate
2018,8,Khulna,334.6,climatological_estimate
2018,8,Mymensingh,375.4,climatological_estimate
2018,8,Rajshahi,329.5,climatological_estimate
2018,8,Rangpur,385.6,climatological_estimate
2018,8,Sylhet,610.0,climatological_estimate
2018,9,Barishal,324.4,climatological_estimate
2018,9,Chattogram,320.3,climatological_estimate
2018,9,Dhaka,248.9,climatological_estimate
2018,9,Khulna,273.4,climatological_estimate
2018,9,Mymensingh,300.9,climatological_estimate
2018,9,Rajshahi,241.7,climatological_estimate
2018,9,Rangpur,285.6,climatological_estimate
2018,9,Sylhet,436.6,climatological_estimate
2018,10,Barishal,185.6,climatological_estimate
2018,10,Chattogram,155.0,climatological_estimate
2018,10,Dhaka,116.3,climatological_estimate
2018,10,Khulna,151.0,climatological_estimate
2018,10,Mymensingh,142.8,climatological_estimate
2018,10,Rajshahi,71.4,climatological_estimate
2018,10,Rangpur,124.4,climatological_estimate
2018,10,Sylhet,222.4,climatological_estimate
2018,11,Barishal,48.3,climatological_estimate
2018,11,Chattogram,38.2,climatological_estimate
2018,11,Dhaka,19.1,climatological_estimate
2018,11,Khulna,38.2,climatological_estimate
2018,11,Mymensingh,22.1,climatological_estimate
2018,11,Rajshahi,8.0,climatological_estimate
2018,11,Rangpur,15.1,climatological_estimate
2018,11,Sylhet,58.3,climatological_estimate
2018,12,Barishal,14.1,climatological_estimate
2018,12,Chattogram,9.1,climatological_estimate
2018,12,Dhaka,4.0,climatological_estimate
2018,12,Khulna,12.1,climatological_estimate
2018,12,Mymensingh,6.0,climatological_estimate
2018,12,Rajshahi,4.0,climatological_estimate
2018,12,Rangpur,5.0,climatological_estimate
2018,12,Sylhet,18.1,climatological_estimate
2019,1,Barishal,18.5,climatological_estimate
2019,1,Chattogram,9.3,climatological_estimate
2019,1,Dhaka,8.2,climatological_estimate
2019,1,Khulna,15.5,climatological_estimate
2019,1,Mymensingh,12.4,climatological_estimate
2019,1,Rajshahi,9.3,climatological_estimate
2019,1,Rangpur,10.3,climatological_estimate
2019,1,Sylhet,22.7,climatological_estimate
2019,2,Barishal,25.8,climatological_estimate
2019,2,Chattogram,20.6,climatological_estimate
2019,2,Dhaka,15.5,climatological_estimate
2019,2,Khulna,24.7,climatological_estimate
2019,2,Mymensingh,22.7,climatological_estimate
2019,2,Rajshahi,18.5,climatological_estimate
2019,2,Rangpur,20.6,climatological_estimate
2019,2,Sylhet,41.2,climatological_estimate
2019,3,Barishal,43.3,climatological_estimate
2019,3,Chattogram,39.1,climatological_estimate
2019,3,Dhaka,24.7,climatological_estimate
2019,3,Khulna,30.9,climatological_estimate
2019,3,Mymensingh,41.2,climatological_estimate
2019,3,Rajshahi,19.6,climatological_estimate
2019,3,Rangpur,33.0,climatological_estimate
2019,3,Sylhet,123.6,climatological_estimate
2019,4,Barishal,79.5,climatological_estimate
2019,4,Chattogram,90.1,climatological_estimate
2019,4,Dhaka,66.8,climatological_estimate
2019,4,Khulna,58.3,climatological_estimate
2019,4,Mymensingh,84.8,climatological_estimate
2019,4,Rajshahi,31.8,climatological_estimate
2019,4,Rangpur,68.9,climatological_estimate
2019,4,Sylhet,280.9,climatological_estimate
2019,5,Barishal,178.1,climatological_estimate
2019,5,Chattogram,267.1,climatological_estimate
2019,5,Dhaka,144.2,climatological_estimate
2019,5,Khulna,131.4,climatological_estimate
2019,5,Mymensingh,203.5,climatological_estimate
2019,5,Rajshahi,80.6,climatological_estimate
2019,5,Rangpur,174.9,climatological_estimate
2019,5,Sylhet,492.9,climatological_estimate
2019,6,Barishal,401.5,climatological_estimate
2019,6,Chattogram,600.6,climatological_estimate
2019,6,Dhaka,356.4,climatological_estimate
2019,6,Khulna,311.3,climatological_estimate
2019,6,Mymensingh,401.5,climatological_estimate
2019,6,Rajshahi,239.8,climatological_estimate
2019,6,Rangpur,343.2,climatological_estimate
